pies, pie, pi
semantics, semantic
wares, ware, war
dies, die
tables, table
mars, mar
yes, ye
neologisms, neologism
smalls, small
metaphysics, metaphysic
its, it
his, hi
species, specie
parents, parent
hers, her
handcuffs, handcuff
pajamas, pajama
frijoles, frijole, frijol
bals, bal
verts, vert
pants, pant
alas, ala
arts, art
means, mean
trousers, trouser
zas, za
scissors, scissor
politics, politic
phonetics, phonetic
bitters, bitter
acoustics, acoustic
goggles, goggle
linacs, linac
guts, gut
ashes, ash
pos, po
leafs, leaf
leaves, leave
asteroids, asteroid
translations, translation
yous, you
lies, lie, li
strokes, stroke
physics, physic
clines, cline
las, la
bowels, bowel
stars, star
genus, genu
links, link
pis, pi
mus, mu
das, da
extremes, extreme
things, thing
mechanics, mechanic
thanks, thank
grapes, grape
pennies, penni
accouterments, accouterment
accoutrements, accoutrement
tapas, tapa
drawers, drawer
pliers, plier
banjos, banjo
banjoes, banjo
spades, spade
hearts, heart
diamonds, diamond
clubs, club
says, say
axes, axe, ax
miasmas, miasma
lips, lip
values, value
dons, don
siblings, sibling
brothers, brother
sisters, sister
dans, dan
bes, be
seas, sea
sees, see
sans, san
ars, ar
billiards, billiard
abbas, abba
beetles, beetle
theses, these
clothes, cloth
vines, vine
statistics, statistic
does, doe, do
optics, optic
colors, color
nos, no
glasses, glass
eyeglasses, eyeglass
shallows, shallow
hiccups, hiccup
headphones, headphone
cobs, cob
mos, mo
bos, bo
directions, direction
hoops, hoop
baas, baa
crus, cru
gos, go
manacles, manacle
shackles, shackle
fils, fil
overalls, overall
airs, air
sons, son
acetones, acetone
pays, pay
amends, amend
matrices, matric
euphemisms, euphemism
annals, annal
apes, ape
rounders, rounder
greens, green
pools, pool
roots, root
integers, integer
dos, do
radians, radian
cheers, cheer
giros, giro
gyros, gyro
binoculars, binocular
mouses, mouse
tornados, tornado
tornadoes, tornado
tongs, tong
terms, term
dynamics, dynamic
constellations, constellation
dens, den
seis, sei
mandragoras, mandragora
fons, fon
commons, common
abates, abate
abbreviations, abbreviation
abductors, abductor
abolitionists, abolitionist
abusers, abuser
abuses, abuse
aahs, aah
abacuses, abacus
pyjamas, pyjama
dreadlocks, dreadlock
dreads, dread
locks, lock
spectacles, spectacle
specs, spec
lunettes, lunette
homophones, homophone
sous, sou
lis, li
giblets, giblet
heavens, heaven
girlfriends, girlfriend
